mean_rr,sdnn,rmssd,lf_power,hf_power,lf_hf_ratio,breathing_rate,breathing_variance,label,filename
858.540158987057,52.61665440702152,57.97831145372313,1165.6024743451426,1297.580887492127,0.8982888739968551,0.19998888888888888,0.7261748088655464,relaxed,relaxed_hr70_sample017.npz
849.2220964971103,62.02116628709473,73.12470232786735,605.8492824513461,1603.5881283156777,0.3778085355918027,0.19998888888888888,0.7262575819711553,relaxed,relaxed_hr71_sample030.npz
930.9791404181951,57.119531158610044,68.70361426280853,976.1682674855787,1856.5827978708185,0.5257876290812755,0.19998888888888888,0.7250934207295443,relaxed,relaxed_hr64_sample004.npz
856.6216641665278,46.2463525909404,54.959068098684014,840.5868551432147,898.5335564323193,0.9355096970232415,0.19998888888888888,0.7242329201621318,relaxed,relaxed_hr70_sample006.npz
844.2459316779735,41.983334803384814,52.85454639523706,459.94950801035344,878.3251580993434,0.5236665530629496,0.19998888888888888,0.7255970590355889,relaxed,relaxed_hr71_sample001.npz
824.0653892536515,36.107035304436316,48.56325889893443,343.2604900597232,631.0572512185721,0.5439450848506802,0.19998888888888888,0.7255030467714247,relaxed,relaxed_hr73_sample015.npz
855.8600477804325,50.3248446080122,64.09902613228499,650.1646070553054,1101.2066287927873,0.5904110909394517,0.19998888888888888,0.7248750026002644,relaxed,relaxed_hr70_sample024.npz
892.8100172231792,51.14281356398117,73.83885468494928,338.3137600064,841.3428225505243,0.40211166119038666,0.19998888888888888,0.7260558320978352,relaxed,relaxed_hr67_sample023.npz
868.2571917345327,49.504884698473205,54.986006681443214,1127.6064548686575,1269.8799870700802,0.8879630093787979,0.19998888888888888,0.7251022250082815,relaxed,relaxed_hr69_sample005.npz
817.3050212191276,102.79273932303597,144.9780662285302,1621.878795241517,2149.433281420238,0.7545611251398604,0.19998888888888888,0.7257411870638821,relaxed,relaxed_hr75_sample028.npz
810.841615383861,136.46838274371112,192.26620225133584,2118.8306478519066,4917.950863931743,0.43083607512051675,0.19998888888888888,0.7263648453206304,relaxed,relaxed_hr77_sample018.npz
895.8392425310179,38.0200497467296,48.63886350510462,464.17442988498186,879.7993331473135,0.5275912499552446,0.19998888888888888,0.7255282239249755,relaxed,relaxed_hr67_sample002.npz
